=== 起点中文网各分类月票榜前 100 名 汇总 ===
--- 爬取完成时间: 43386.875 ---
 55. 《以一龙之力打倒整个世界！》 - https://www.qidian.com/book/1043128588/
 56. 《港片：你洪兴仔，慈善大王什么鬼》 - https://www.qidian.com/book/1040860448/
 57. 《惊涛落日》 - https://www.qidian.com/book/1043249350/
 58. 《多我一个后富怎么了》 - https://www.qidian.com/book/1033148818/
 59. 《这是我们的战锤之旅》 - https://www.qidian.com/book/1043038786/
 60. 《国民法医》 - https://www.qidian.com/book/1033893441/
 61. 《食仙主》 - https://www.qidian.com/book/1032634963/
 62. 《流窜诸天的恶势力》 - https://www.qidian.com/book/1042086644/
 63. 《神农道君》 - https://www.qidian.com/book/1039640376/
 64. 《仙业》 - https://www.qidian.com/book/1035985996/
 65. 《重生八一渔猎西北》 - https://www.qidian.com/book/1039893514/
 66. 《韩城：我与未来有扇门》 - https://www.qidian.com/book/1044444421/
 67. 《天命皆烬》 - https://www.qidian.com/book/1039028902/
 68. 《呢喃诗章》 - https://www.qidian.com/book/1027630529/
 69. 《黜龙》 - https://www.qidian.com/book/1031516087/
 70. 《仙工开物》 - https://www.qidian.com/book/1039889503/
 71. 《1987我的年代》 - https://www.qidian.com/book/1040855137/
 72. 《太虚至尊》 - https://www.qidian.com/book/1038440253/
 73. 《仙道尽头》 - https://www.qidian.com/book/1044334449/
 74. 《重生08：装备系男神》 - https://www.qidian.com/book/1042476546/
 75. 《山海提灯》 - https://www.qidian.com/book/1039449163/
 76. 《整座大山都是我的猎场》 - https://www.qidian.com/book/1031866444/
 77. 《永噩长夜》 - https://www.qidian.com/book/1042145420/
 78. 《贫道要考大学》 - https://www.qidian.com/book/1045457037/
 79. 《废土边境检查官》 - https://www.qidian.com/book/1044920002/
 80. 《发薪就能变强，我有十亿员工！》 - https://www.qidian.com/book/1043465009/
 81. 《艾泽拉斯圣光黎明》 - https://www.qidian.com/book/1043199830/
 82. 《美利坚打猎：从荒野独居开始》 - https://www.qidian.com/book/1044930090/
 83. 《上玉阙》 - https://www.qidian.com/book/1042719946/
 84. 《阵问长生》 - https://www.qidian.com/book/1036645930/
 85. 《科技入侵现代》 - https://www.qidian.com/book/1043452279/
 86. 《华娱唯一太阳》 - https://www.qidian.com/book/1045273110/
 87. 《系统很抽象，还好我也是》 - https://www.qidian.com/book/1042169201/
 88. 《红尘尸仙》 - https://www.qidian.com/book/1042279725/
 89. 《高武：肝成宇宙之主》 - https://www.qidian.com/book/1045207059/
 90. 《寒霜千年》 - https://www.qidian.com/book/1044780667/
 91. 《火影：我在暗部苟成超影》 - https://www.qidian.com/book/1044647861/
 92. 《华娱浪子，怎么被天仙改造了？》 - https://www.qidian.com/book/1041096567/
 93. 《怪物来了》 - https://www.qidian.com/book/1041377890/
 94. 《大明：让你死谏，你怎么真死啊？》 - https://www.qidian.com/book/1045582790/
 95. 《天灾信使》 - https://www.qidian.com/book/1043620792/
 96. 《华娱1995》 - https://www.qidian.com/book/1045172422/
 97. 《说好的保卫科干事，你破什么案？》 - https://www.qidian.com/book/1043961748/
 98. 《凡人修仙传》 - https://www.qidian.com/book/107580/
 99. 《重燃青葱时代》 - https://www.qidian.com/book/1039058592/
100. 《我不是哥布林杀手》 - https://www.qidian.com/book/1044612643/

==== 玄幻 ====
  1. 《苟在初圣魔门当人材》 - https://www.qidian.com/book/1043182343/
  2. 《夜无疆》 - https://www.qidian.com/book/1040765595/
  3. 《青山》 - https://www.qidian.com/book/1033014772/
  4. 《诡秘之主》 - https://www.qidian.com/book/1010868264/
  5. 《元始法则》 - https://www.qidian.com/book/1042108416/
  6. 《鸣龙》 - https://www.qidian.com/book/1039457453/
  7. 《从水猴子开始成神》 - https://www.qidian.com/book/1037570737/
  8. 《天人图谱》 - https://www.qidian.com/book/1037676014/
  9. 《亡灵法师，召唤055什么鬼？》 - https://www.qidian.com/book/1045018157/
 10. 《龙藏》 - https://www.qidian.com/book/1038996214/
 11. 《大道之上》 - https://www.qidian.com/book/1039994731/
 12. 《真君驾到》 - https://www.qidian.com/book/1044839471/
 13. 《宿命之环》 - https://www.qidian.com/book/1036370336/
 14. 《长夜君主》 - https://www.qidian.com/book/1037414980/
 15. 《苟在武道世界成圣》 - https://www.qidian.com/book/1045003390/
 16. 《旧域怪诞》 - https://www.qidian.com/book/1045191725/
 17. 《食仙主》 - https://www.qidian.com/book/1032634963/
 18. 《神农道君》 - https://www.qidian.com/book/1039640376/
 19. 《天命皆烬》 - https://www.qidian.com/book/1039028902/
 20. 《太虚至尊》 - https://www.qidian.com/book/1038440253/
 21. 《高武：肝成宇宙之主》 - https://www.qidian.com/book/1045207059/
 22. 《万世之名》 - https://www.qidian.com/book/1038367936/
 23. 《普罗之主》 - https://www.qidian.com/book/1038229163/
 24. 《万相之王》 - https://www.qidian.com/book/1027368101/
 25. 《这个武圣血条太厚》 - https://www.qidian.com/book/1039918657/
 26. 《夫人请住手》 - https://www.qidian.com/book/1043498806/
 27. 《星武纪元》 - https://www.qidian.com/book/1040259451/
 28. 《从斩妖除魔开始长生不死》 - https://www.qidian.com/book/1038307656/
 29. 《历史病了》 - https://www.qidian.com/book/1044399093/
 30. 《巫师：从合成宝石开始》 - https://www.qidian.com/book/1043196323/
 31. 《高武纪元》 - https://www.qidian.com/book/1039141715/
 32. 《巫师：我的职业面板没有上限》 - https://www.qidian.com/book/1043605775/
 33. 《长青仙尊》 - https://www.qidian.com/book/1041901254/
 34. 《我！清理员！》 - https://www.qidian.com/book/1036211225/
 35. 《有诡》 - https://www.qidian.com/book/1042628462/
 36. 《说好当闲散赘婿，你陆地神仙？》 - https://www.qidian.com/book/1044482577/
 37. 《祭祀百年，我成了部落先祖》 - https://www.qidian.com/book/1044642569/
 38. 《至圣先师他太稳重了》 - https://www.qidian.com/book/1045335204/
 39. 《旧神之巅》 - https://www.qidian.com/book/1039995415/
 40. 《大乾武圣！》 - https://www.qidian.com/book/1039084315/
 41. 《末法时代的长生武圣》 - https://www.qidian.com/book/1044261524/
 42. 《道爷要飞升》 - https://www.qidian.com/book/1037991205/
 43. 《隐秘买家》 - https://www.qidian.com/book/1045583754/
 44. 《人族镇守使》 - https://www.qidian.com/book/1026225232/
 45. 《从栽下菩提树开始成神》 - https://www.qidian.com/book/1040794052/
 46. 《斗破之魂族妖女》 - https://www.qidian.com/book/1040989155/
 47. 《国术：一天涨一年功力！》 - https://www.qidian.com/book/1044964632/
 48. 《道诡异仙》 - https://www.qidian.com/book/1031794030/
 49. 《天榜》 - https://www.qidian.com/book/1044204199/
 50. 《武道登神》 - https://www.qidian.com/book/1042245167/
 51. 《无尽寒冬：我的营地无限升级》 - https://www.qidian.com/book/1041747843/
 52. 《大周文圣》 - https://www.qidian.com/book/1043081814/
 53. 《机甲大战正酣，你说你已成仙帝？》 - https://www.qidian.com/book/1044648280/
 54. 《我来教你们修仙》 - https://www.qidian.com/book/1044084610/
 55. 《万般特质加身，我终将成为不朽》 - https://www.qidian.com/book/1043019445/
 56. 《掌门师伯新收了个女徒弟》 - https://www.qidian.com/book/1041753908/
 57. 《我略微出手，就是系统的极限》 - https://www.qidian.com/book/1044581232/
 58. 《道起五脏观：我在九十年代当天师》 - https://www.qidian.com/book/1045400385/
 59. 《纯阳！》 - https://www.qidian.com/book/1040682764/
 60. 《晦朔光年》 - https://www.qidian.com/book/1043462065/
 61. 《神祇》 - https://www.qidian.com/book/1043497779/
 62. 《我的天道版本太低，所以全是漏洞》 - https://www.qidian.com/book/1043444238/
 63. 《从五禽拳开始肉身成圣》 - https://www.qidian.com/book/1039338747/
 64. 《我在上古做天帝》 - https://www.qidian.com/book/1045391174/
 65. 《大明：从战场捡属性开创诸天大明》 - https://www.qidian.com/book/1042838558/
 66. 《高武：从肝二郎神天赋开始变强》 - https://www.qidian.com/book/1039751366/
 67. 《法师之上！》 - https://www.qidian.com/book/1040247886/
 68. 《人道大圣》 - https://www.qidian.com/book/1030665314/
 69. 《民俗从傩戏班子开始》 - https://www.qidian.com/book/1045776509/
 70. 《未来，地球成了神话时代遗迹》 - https://www.qidian.com/book/1044215440/
 71. 《寒门崛起：我的武道逆袭生涯》 - https://www.qidian.com/book/1042706859/
 72. 《宠神》 - https://www.qidian.com/book/1043178510/
 73. 《古代末世的文弱书生》 - https://www.qidian.com/book/1043202112/
 74. 《祥子修仙记》 - https://www.qidian.com/book/1045338276/
 75. 《我有无限死士，暴兵横推诸天》 - https://www.qidian.com/book/1045657767/
 76. 《在天魔世界的摆烂生活》 - https://www.qidian.com/book/1045435367/
 77. 《八道横行》 - https://www.qidian.com/book/1043800607/
 78. 《守序暴君》 - https://www.qidian.com/book/1041712048/
 79. 《我的功法都太有主见了》 - https://www.qidian.com/book/1045255629/
 80. 《锦衣无双》 - https://www.qidian.com/book/1045071674/
 81. 《神话绘卷师：开局财神赵公明》 - https://www.qidian.com/book/1045149691/
 82. 《镜主》 - https://www.qidian.com/book/1045336850/
 83. 《每天一门功法圆满》 - https://www.qidian.com/book/1034284970/
 84. 《我于人间证不朽》 - https://www.qidian.com/book/1045076554/
 85. 《王妃，请自重》 - https://www.qidian.com/book/1045550807/
 86. 《高武：我继承了游戏里的邪恶组织》 - https://www.qidian.com/book/1041174910/
 87. 《神诡制卡师：开局百鬼夜行》 - https://www.qidian.com/book/1044115026/
 88. 《我只会虐菜啊》 - https://www.qidian.com/book/1044558122/
 89. 《人间如狱，我肉身成圣》 - https://www.qidian.com/book/1043056943/
 90. 《我的梦境可以捡到至宝》 - https://www.qidian.com/book/1040485671/
 91. 《两界高武：收束诸天成大罗》 - https://www.qidian.com/book/1044847891/
 92. 《一世之尊》 - https://www.qidian.com/book/3249362/
 93. 《从武馆弟子开始百炼成神》 - https://www.qidian.com/book/1042697290/
 94. 《登神》 - https://www.qidian.com/book/1043112448/
 95. 《极道暴君！》 - https://www.qidian.com/book/1041744562/
 96. 《神话职业者都是我员工》 - https://www.qidian.com/book/1044773646/
 97. 《我在诡夜斩神魔》 - https://www.qidian.com/book/1039422794/
 98. 《百肝成帝：从杂役开始！》 - https://www.qidian.com/book/1044284178/
 99. 《人在高武，言出法随》 - https://www.qidian.com/book/1044235789/
100. 《我有一身被动技》 - https://www.qidian.com/book/1020152464/

==== 奇幻 ====
  1. 《这个地下城长蘑菇了》 - https://www.qidian.com/book/1044050715/
  2. 《哥布林重度依赖》 - https://www.qidian.com/book/1042786143/
  3. 《大不列颠之影》 - https://www.qidian.com/book/1037013306/
  4. 《超魔术士：开局魔网又崩了》 - https://www.qidian.com/book/1045343096/
  5. 《圣女来时不纳粮》 - https://www.qidian.com/book/1038971641/
  6. 《钢铁火药和施法者》 - https://www.qidian.com/book/1021263756/
  7. 《万国之国》 - https://www.qidian.com/book/1030618670/
  8. 《战锤：以涅槃之名》 - https://www.qidian.com/book/1035859405/
  9. 《诡秘：善魔女》 - https://www.qidian.com/book/1036800866/
 10. 《狗头人的巫师日志》 - https://www.qidian.com/book/1043807613/
 11. 《千面之龙》 - https://www.qidian.com/book/1043761210/
 12. 《吟游诗人又幻想了》 - https://www.qidian.com/book/1045193869/
 13. 《克拉夫特异态学笔记》 - https://www.qidian.com/book/1034284068/
 14. 《修仙的我却来到了巫师世界》 - https://www.qidian.com/book/1044603424/
 15. 《希腊：我就是宙斯！》 - https://www.qidian.com/book/1044836690/
 16. 《蒸汽世界的鼠先生》 - https://www.qidian.com/book/1045346552/
 17. 《诡秘：最后一个牧羊人》 - https://www.qidian.com/book/1043433916/
 18. 《一心退休的我却成了帝国上将》 - https://www.qidian.com/book/1043735998/
 19. 《我，落难王子，打钱》 - https://www.qidian.com/book/1042938021/
 20. 《我的设定在你之上！》 - https://www.qidian.com/book/1045339766/
 21. 《阿兹特克的永生者》 - https://www.qidian.com/book/1023471051/
 22. 《从加点开始无限进化》 - https://www.qidian.com/book/1045059414/
 23. 《天启预报》 - https://www.qidian.com/book/1014180485/
 24. 《帝皇的告死天使》 - https://www.qidian.com/book/1022746073/
 25. 《北境王权》 - https://www.qidian.com/book/1040047275/
 26. 《词条种田：从北荒领主到帝皇》 - https://www.qidian.com/book/1043441359/
 27. 《魔兽艾泽拉斯，从挖黑龙墙角开始》 - https://www.qidian.com/book/1044848271/
 28. 《40k：午夜之刃》 - https://www.qidian.com/book/1037187334/
 29. 《王国血脉》 - https://www.qidian.com/book/1003586227/
 30. 《诡秘：第四纪元的时空穿越者》 - https://www.qidian.com/book/1044230781/
 31. 《光明之路》 - https://www.qidian.com/book/1036945603/
 32. 《凛冬领主：从每日情报开始》 - https://www.qidian.com/book/1043859598/
 33. 《权游：开局带疯王杀出暮谷镇！》 - https://www.qidian.com/book/1044813430/
 34. 《致异世界》 - https://www.qidian.com/book/1036307268/
 35. 《福尔摩斯在霍格沃茨》 - https://www.qidian.com/book/1042687729/
 36. 《战锤40K：毁灭战士》 - https://www.qidian.com/book/1037850121/
 37. 《诡秘：先天命运圣体》 - https://www.qidian.com/book/1044062338/
 38. 《猎魔人：基里曼大师野心勃勃》 - https://www.qidian.com/book/1043796049/
 39. 《诡秘：开局假扮纯白天使》 - https://www.qidian.com/book/1044744052/
 40. 《战锤：向虚空领主致敬！》 - https://www.qidian.com/book/1039964904/
 41. 《圣堂教会从赐福开始》 - https://www.qidian.com/book/1044518172/
 42. 《巨龙领主：从每日情报开始》 - https://www.qidian.com/book/1044332070/
 43. 《帝国血脉》 - https://www.qidian.com/book/1042412214/
 44. 《诡秘：银之钥》 - https://www.qidian.com/book/1044650312/
 45. 《龙与美食与地下城》 - https://www.qidian.com/book/1045267714/
 46. 《占星家忽悠着你》 - https://www.qidian.com/book/1045421153/
 47. 《1888：未确认生物猎杀手记》 - https://www.qidian.com/book/1045492480/
 48. 《奇诡航海：召唤第四天灾》 - https://www.qidian.com/book/1040084813/
 49. 《骑士领主：从每日情报开始》 - https://www.qidian.com/book/1041712374/
 50. 《我不是领主》 - https://www.qidian.com/book/1043028890/
 51. 《中土冒险日志》 - https://www.qidian.com/book/1045709623/
 52. 《龙神：我在艾泽拉斯传火七千年》 - https://www.qidian.com/book/1045044075/
 53. 《红龙之下》 - https://www.qidian.com/book/1039753240/
 54. 《黄昏避难所》 - https://www.qidian.com/book/1044777248/
 55. 《徒弟，不要丢下为师去当勇者啊！》 - https://www.qidian.com/book/1045192448/
 56. 《法师故事：假龙永生》 - https://www.qidian.com/book/1042032271/
 57. 《骑砍乱入十字军之王》 - https://www.qidian.com/book/1045420990/
 58. 《巫师血脉》 - https://www.qidian.com/book/1040945880/
 59. 《巫妖的现代化农场》 - https://www.qidian.com/book/1044578872/
 60. 《狼人狩猎法则》 - https://www.qidian.com/book/1035053977/
 61. 《灰沼领主，从生物改造开始》 - https://www.qidian.com/book/1045096834/
 62. 《旧日音乐家》 - https://www.qidian.com/book/1033804669/
 63. 《权游之三叉戟河之王》 - https://www.qidian.com/book/1044652613/
 64. 《空想具现的大贵族》 - https://www.qidian.com/book/1035510486/
 65. 《骑砍系统：从开拓领主开始》 - https://www.qidian.com/book/1038801618/
 66. 《别逼我抽出昆特牌》 - https://www.qidian.com/book/1043630723/
 67. 《种出个帝国神话》 - https://www.qidian.com/book/1042184423/
 68. 《重生北美：传奇从美式居合开始》 - https://www.qidian.com/book/1045278068/
 69. 《战锤40k：锻钢兄弟》 - https://www.qidian.com/book/1042578043/
 70. 《佣兵战纪》 - https://www.qidian.com/book/1043309729/
 71. 《天国拯救：梦境传承》 - https://www.qidian.com/book/1043754397/
 72. 《暮年骑士，从抚养血族徒弟开始》 - https://www.qidian.com/book/1045136683/
 73. 《冒险者营地日志》 - https://www.qidian.com/book/1045043769/
 74. 《猎妖高校》 - https://www.qidian.com/book/1004600098/
 75. 《地下城女王：开局送哥布林进厂！》 - https://www.qidian.com/book/1044671273/
 76. 《我在异界种田封神》 - https://www.qidian.com/book/1035966710/
 77. 《冒险者？错！是金币收藏家》 - https://www.qidian.com/book/1044281259/
 78. 《森林不养闲哥布林》 - https://www.qidian.com/book/1045593609/
 79. 《中古战锤：英雄无敌》 - https://www.qidian.com/book/1045373609/
 80. 《帝国王权》 - https://www.qidian.com/book/1039978139/
 81. 《希腊神话：洞穴之神》 - https://www.qidian.com/book/1043621086/
 82. 《我的异世界是游戏模式》 - https://www.qidian.com/book/1037856850/
 83. 《1881：西部猎魔手记》 - https://www.qidian.com/book/1045647453/
 84. 《高天之上》 - https://www.qidian.com/book/1032977639/
 85. 《权游：烈日行者》 - https://www.qidian.com/book/1041354374/
 86. 《炼金术师保命之法》 - https://www.qidian.com/book/1042131809/
 87. 《黑帆》 - https://www.qidian.com/book/1037526139/
 88. 《放开那个女巫》 - https://www.qidian.com/book/1003306811/
 89. 《人在战锤，是巫后，也是凤凰女王》 - https://www.qidian.com/book/1041727672/
 90. 《虫群公主养成日记》 - https://www.qidian.com/book/1045063107/
 91. 《猩红之刃：漂泊之旅》 - https://www.qidian.com/book/1042300920/
 92. 《大航海：在魔法世界搞工业》 - https://www.qidian.com/book/1045025822/
 93. 《巫师：从生物改造开始肝经验》 - https://www.qidian.com/book/1041887405/
 94. 《诡秘地海》 - https://www.qidian.com/book/1020600643/
 95. 《死灵法师的地牢掌机》 - https://www.qidian.com/book/1044202023/
 96. 《地下城魔物美食指南》 - https://www.qidian.com/book/1045180692/
 97. 《重生白龙，实在太弱的我只能自律》 - https://www.qidian.com/book/1043842153/
 98. 《费伦：全职业精通，但我是普通人》 - https://www.qidian.com/book/1045009877/
 99. 《霍格沃茨：谁让她当教授的》 - https://www.qidian.com/book/1041841209/
100. 《武僧的奇幻世界之旅》 - https://www.qidian.com/book/1040249620/

==== 武侠 ====
  1. 《剑出大唐》 - https://www.qidian.com/book/1043632678/
  2. 《瞎子捉刀人：开局满级九阳神功》 - https://www.qidian.com/book/1043026487/
  3. 《盖世双谐》 - https://www.qidian.com/book/1017371184/
  4. 《人在峨眉，开局获取金色词条》 - https://www.qidian.com/book/1045445836/
  5. 《剑出星宿毒为锋》 - https://www.qidian.com/book/1045202047/
  6. 《问剑华山》 - https://www.qidian.com/book/1044286766/
  7. 《秦时：我在天宗误入歧途》 - https://www.qidian.com/book/1044666365/
  8. 《射雕：从镖人开始》 - https://www.qidian.com/book/1045322129/
  9. 《八小时工作制的朝廷鹰犬》 - https://www.qidian.com/book/1042428486/
 10. 《开局被追杀，我获得第一快剑》 - https://www.qidian.com/book/1042016222/
 11. 《大宋为王十三年，方知是天龙》 - https://www.qidian.com/book/1042506551/
 12. 《苦境：今天世界毁灭了吗》 - https://www.qidian.com/book/1045763814/
 13. 《十国侠影》 - https://www.qidian.com/book/1045605306/
 14. 《重生笑傲：我要当教主》 - https://www.qidian.com/book/1040446533/
 15. 《速通武侠世界：我专治意难平！》 - https://www.qidian.com/book/1044737071/
 16. 《在温瑞安书中，从执掌家门开始！》 - https://www.qidian.com/book/1045723418/
 17. 《穿越神雕：我为西狂》 - https://www.qidian.com/book/1044803710/
 18. 《这个枪手有1点怂》 - https://www.qidian.com/book/1044220139/
 19. 《我王语嫣，在线改命》 - https://www.qidian.com/book/1044997095/
 20. 《横练诸天：开局硬刚九阴白骨爪》 - https://www.qidian.com/book/1037889099/
 21. 《苦境：学海无涯的大科学家》 - https://www.qidian.com/book/1044960626/
 22. 《大侠别急，笑傲江湖先问问大明律》 - https://www.qidian.com/book/1042164563/
 23. 《谁能书阁下，白首太玄经》 - https://www.qidian.com/book/1044722570/
 24. 《神雕：我学了斗转星移》 - https://www.qidian.com/book/1042481600/
 25. 《综武：从锦衣卫校尉开始》 - https://www.qidian.com/book/1043930522/
 26. 《苟在苦境的重生回复术士》 - https://www.qidian.com/book/1044908449/
 27. 《综武：女侠别怕，我是好人呐！》 - https://www.qidian.com/book/1042477015/
 28. 《这个锦衣卫只想退休养老》 - https://www.qidian.com/book/1044824399/
 29. 《死人经》 - https://www.qidian.com/book/2389275/
 30. 《武侠：开局满级天外飞仙》 - https://www.qidian.com/book/1044539048/
 31. 《神话综武：开局召唤四大尸祖》 - https://www.qidian.com/book/1043986075/
 32. 《张无忌穿越杨过》 - https://www.qidian.com/book/1045057169/
 33. 《家师元十三限》 - https://www.qidian.com/book/1044005813/
 34. 《大明：靖难戍边，称霸天下》 - https://www.qidian.com/book/1043122692/
 35. 《我有故人抱剑去》 - https://www.qidian.com/book/1038538519/
 36. 《一个人的武侠游戏》 - https://www.qidian.com/book/1043415010/
 37. 《江湖路从火云传奇开始》 - https://www.qidian.com/book/1045859458/
 38. 《神话从童子功开始》 - https://www.qidian.com/book/1029103628/
 39. 《我在神雕之艰难求生》 - https://www.qidian.com/book/1045298153/
 40. 《人在综武，天道酬勤》 - https://www.qidian.com/book/1044811863/
 41. 《人在大宋：忽悠慕容复替我打工》 - https://www.qidian.com/book/1044265585/
 42. 《秦时：从夜宿寝宫开始长生》 - https://www.qidian.com/book/1045351321/
 43. 《综武：开局捡个邀月当媳妇》 - https://www.qidian.com/book/1042738064/
 44. 《重返笑傲：你们谁是潘金莲？》 - https://www.qidian.com/book/1045667511/
 45. 《射雕：桃花岛弃徒，开局拐走蓉儿》 - https://www.qidian.com/book/1045261604/
 46. 《武侠世界练禁武》 - https://www.qidian.com/book/1045243631/
 47. 《综武：长生从银槐鬼市杀手开始》 - https://www.qidian.com/book/1045339062/
 48. 《神雕：七年后方知是武侠》 - https://www.qidian.com/book/1045853609/
 49. 《张君宝穿越倚天屠龙记》 - https://www.qidian.com/book/1045605301/
 50. 《开局紫霞三百年，岳掌门不装了》 - https://www.qidian.com/book/1045764594/
 51. 《从三分归元气开始倚天屠龙》 - https://www.qidian.com/book/1044275903/
 52. 《神雕：开局拜师李莫愁》 - https://www.qidian.com/book/1045365150/
 53. 《剑出武当！》 - https://www.qidian.com/book/1045187942/
 54. 《神雕杨过：朕只想行侠仗义！》 - https://www.qidian.com/book/1045514973/
 55. 《从和李莫愁修炼心经开始》 - https://www.qidian.com/book/1041718556/
 56. 《多情剑客无敌剑》 - https://www.qidian.com/book/1045838341/
 57. 《武侠：从六扇门开始模拟人生》 - https://www.qidian.com/book/1041675360/
 58. 《武侠行两界，开局抽到嫁衣神功》 - https://www.qidian.com/book/1044744326/
 59. 《神雕从还俗开始》 - https://www.qidian.com/book/1044957090/
 60. 《诡秘武林：侠客挥犀录》 - https://www.qidian.com/book/1030887252/
 61. 《反派模板：从曹少钦开始》 - https://www.qidian.com/book/1044652476/
 62. 《武侠网游：从绝后岳不群开始》 - https://www.qidian.com/book/1044984149/
 63. 《诸天：开局越女阿青》 - https://www.qidian.com/book/1034082096/
 64. 《笑傲之道士下山》 - https://www.qidian.com/book/1042546125/
 65. 《笑傲百年，万练成神》 - https://www.qidian.com/book/1044696534/
 66. 《倚天：从独上光明顶开始》 - https://www.qidian.com/book/1044480632/
 67. 《武侠：家族弃子，开了仙侠小游戏》 - https://www.qidian.com/book/1045625054/
 68. 《长生妄想》 - https://www.qidian.com/book/1045859277/
 69. 《双穿门，开局辟邪剑谱换兔符咒！》 - https://www.qidian.com/book/1044702923/
 70. 《我在武侠世界雇佣玩家》 - https://www.qidian.com/book/1032860125/
 71. 《综武：我的师兄是郭靖》 - https://www.qidian.com/book/1045783219/
 72. 《穿越武侠世界从笑傲开始》 - https://www.qidian.com/book/1042140443/
 73. 《射雕：从拐李莫愁下山开始》 - https://www.qidian.com/book/1045647013/
 74. 《大唐江湖录，剑道我独行》 - https://www.qidian.com/book/1045492460/
 75. 《剑啸灵霄》 - https://www.qidian.com/book/1043285370/
 76. 《这江湖不混也罢》 - https://www.qidian.com/book/1045855589/
 77. 《武侠：开局奖励满级神功》 - https://www.qidian.com/book/1032569010/
 78. 《少林侠影传奇》 - https://www.qidian.com/book/1041996142/
 79. 《九鼎记》 - https://www.qidian.com/book/1321320/
 80. 《综武：天下第一圣地》 - https://www.qidian.com/book/1045272397/
 81. 《武林神话，从见习镖师开始》 - https://www.qidian.com/book/1044515065/
 82. 《武侠：我身边怎么都是恶女啊！》 - https://www.qidian.com/book/1045074849/
